Source IP,Destination IP,Average Flow Duration,StdDev Flow Duration,Average Forward Packets,StdDev Forward Packets
3.111.75.244,192.168.20.48,4941.00,0.00,4.00,0.00
192.168.20.43,52.46.155.15,651848.00,243003.00,33.50,21.50
52.46.137.137,192.168.20.43,12438.00,11001.00,5.50,2.50
192.168.20.43,52.94.220.255,198159343.00,0.00,94.00,0.00
52.84.186.218,192.168.20.43,4662.00,2291.00,1.50,0.50
192.168.20.48,54.207.140.222,3615218.00,0.00,72.00,0.00
192.168.20.48,52.214.227.89,18478832588.00,13977818666.00,1323.50,988.50
52.84.174.66,192.168.20.43,1897.00,0.00,1.00,0.00
216.58.214.176,192.168.20.42,1165.00,0.00,1.00,0.00
192.168.20.43,52.46.133.115,22228645.00,0.00,19.00,0.00
192.168.20.42,64.233.184.188,3968501611.50,857416957.50,139.00,28.00
192.168.20.43,34.202.49.39,332247407.00,0.00,42.00,0.00
192.168.20.42,216.58.214.170,115991760.00,0.00,68.00,0.00
34.195.175.66,192.168.20.48,31509.00,0.00,10.00,0.00
192.168.20.48,52.20.206.121,5061213.50,2246238.50,308.50,136.50
192.168.20.43,54.208.221.42,1434811032.00,0.00,182.00,0.00
54.68.57.171,192.168.20.43,156.00,0.00,4.00,0.00
64.233.184.188,192.168.20.42,196294.00,0.00,2.00,0.00
192.168.20.43,44.240.184.205,25917998.50,6332401.50,75.00,17.00
192.168.20.42,172.217.18.206,195488566.00,0.00,36.00,0.00
192.168.20.48,52.94.224.149,397358.00,0.00,11.00,0.00
192.168.20.48,18.230.114.81,1709615.00,0.00,36.00,0.00
54.239.35.211,192.168.20.43,12281.00,0.00,2.00,0.00
192.168.20.42,216.58.214.176,431133707.00,0.00,190.00,0.00
192.168.20.48,54.253.143.250,9119062.00,0.00,141.00,0.00
54.243.58.104,192.168.20.48,18743.00,0.00,6.00,0.00
192.168.20.48,35.76.66.254,12405069.00,0.00,210.00,0.00
192.168.20.43,54.81.90.27,96921692.00,0.00,47.00,0.00
0.0.0.0,255.255.255.255,1020285.00,0.00,8.00,0.00
192.168.20.43,52.84.186.53,124057364.50,103218861.50,48.00,36.00
192.168.20.43,34.232.93.236,16113281.00,8035131.00,160.50,130.50
192.168.20.45,142.250.13.108,50371663.00,0.00,19.00,0.00
192.168.20.48,192.168.20.1,1730091.00,1524752.00,710.00,590.00
172.217.18.206,192.168.20.42,2130.00,0.00,2.00,0.00
192.168.20.48,3.24.199.219,3433240.00,0.00,54.00,0.00
192.168.20.43,52.71.238.202,96540048.00,0.00,35.00,0.00
192.168.20.43,52.73.50.224,35634617.00,0.00,484.00,0.00
192.168.20.48,3.69.3.200,111049.00,0.00,18.00,0.00
192.168.20.45,142.250.13.109,30156790.00,0.00,12.00,0.00
54.146.171.119,192.168.20.48,2244.00,0.00,2.00,0.00
54.239.35.210,192.168.20.43,1284.00,0.00,1.00,0.00
54.70.5.180,192.168.20.43,2577.00,0.00,1.00,0.00
192.168.20.43,44.227.96.221,26552385.00,0.00,100.00,0.00
192.168.20.42,216.239.35.0,131724.50,120400.50,16.50,14.50
192.168.20.20,52.215.192.19,25512590814.00,20694069213.00,1425.00,1159.00
192.168.20.48,176.32.101.122,393585.00,0.00,15.00,0.00
192.168.20.43,3.227.176.159,437168050.50,326539713.50,56.00,42.00
192.168.20.43,34.226.24.249,76962.00,0.00,1.00,0.00
192.168.20.43,209.54.177.154,874823.00,0.00,21.00,0.00
192.168.20.48,3.39.78.62,3191224.00,0.00,53.00,0.00
192.168.20.42,216.239.35.8,90044.00,72957.00,11.00,8.00
192.168.20.19,239.255.255.250,28470886140.50,23597964497.50,5046.00,4182.00
108.128.53.179,192.168.20.19,63.00,0.00,2.00,0.00
18.214.180.6,192.168.20.48,51329.00,0.00,18.00,0.00
192.168.20.48,54.157.203.98,3362177.00,1064541.00,195.00,48.00
192.168.20.42,216.239.35.4,71697.00,60184.00,12.50,10.50
192.168.20.43,54.92.134.147,631564721.50,582871177.50,82.00,72.00
54.239.26.255,192.168.20.43,12701.00,0.00,8.00,0.00
192.168.20.40,255.255.255.255,4975792417.00,0.00,165.00,0.00
192.168.20.48,54.217.255.252,377968.00,239773.00,44.50,26.50
192.168.20.43,44.199.138.71,25782920.00,0.00,43.00,0.00
192.168.20.43,52.46.143.12,391023.00,0.00,12.00,0.00
192.168.20.42,142.250.75.234,2938715.00,0.00,75.00,0.00
178.236.7.140,192.168.20.43,1651.00,0.00,1.00,0.00
35.161.60.59,192.168.20.48,8533.00,0.00,2.00,0.00
192.168.20.42,142.250.75.238,2136183775.00,1906819052.00,729.50,671.50
192.168.20.48,52.46.131.169,381792.00,0.00,15.00,0.00
192.168.20.43,52.222.175.76,1992316026.50,1810821622.50,1039.00,882.00
192.168.20.43,224.0.0.251,6473075015.50,5800040728.50,259.00,223.00
54.157.203.98,192.168.20.48,41404.00,34170.00,8.00,3.00
192.168.20.48,52.46.131.184,388897.00,0.00,14.00,0.00
192.168.20.42,224.0.0.251,24824775686.50,20909411057.50,3576.50,2979.50
192.168.20.42,224.0.0.250,21773798656.50,18113379732.50,710.00,589.00
192.168.20.43,54.239.35.211,75763921.50,12387810.50,33.00,20.00
192.168.20.43,52.84.174.68,30811286.00,0.00,12.00,0.00
192.168.20.43,54.164.103.224,96882246.00,0.00,42.00,0.00
192.168.20.43,54.239.27.116,477917.00,0.00,12.00,0.00
44.198.224.47,192.168.20.48,4791.00,0.00,2.00,0.00
192.168.20.43,255.255.255.255,6570.00,6421.00,36.00,30.00
192.168.20.43,54.239.35.210,46428497.00,25474920.00,13.50,0.50
192.168.20.43,52.84.174.66,644928.00,0.00,6.00,0.00
13.49.17.198,192.168.20.48,8042.50,5984.50,3.00,2.00
192.168.20.42,74.125.206.188,25657983108.00,0.00,1067.00,0.00
192.168.20.48,35.164.182.2,665156.00,0.00,14.00,0.00
192.168.20.42,66.102.1.188,37425446951.00,0.00,1308.00,0.00
108.136.174.255,192.168.20.48,16158.00,0.00,4.00,0.00
54.205.24.65,192.168.20.48,6873.00,4597.00,3.00,1.00
18.166.109.196,192.168.20.48,17308.00,0.00,4.00,0.00
52.47.108.103,192.168.20.48,6148.00,0.00,4.00,0.00
192.168.20.42,216.58.204.102,194931121.00,0.00,19.00,0.00
52.67.64.238,192.168.20.48,40722.00,0.00,8.00,0.00
192.168.20.43,239.255.255.250,51020029.00,42502991.00,618.00,513.00
192.168.20.48,209.54.179.93,472041.00,0.00,15.00,0.00
192.168.20.43,52.45.200.111,661389734.00,0.00,84.00,0.00
192.168.20.43,34.231.161.19,303284849.00,0.00,128.00,0.00
142.250.201.170,192.168.20.42,1127.00,0.00,1.00,0.00
52.46.129.152,192.168.20.43,1288.00,0.00,2.00,0.00
192.168.20.43,35.173.14.214,28422485.00,0.00,260.00,0.00
209.54.180.48,192.168.20.43,1290.00,0.00,2.00,0.00
52.95.123.17,192.168.20.43,1095.00,0.00,1.00,0.00
192.168.20.43,54.211.220.114,384234217.00,274983243.00,49.00,35.00
104.199.65.124,192.168.20.48,7014521.00,0.00,2.00,0.00
192.168.20.43,54.86.198.4,993411706.00,0.00,126.00,0.00
192.168.20.48,23.23.159.254,377425.00,0.00,18.00,0.00
192.168.20.48,3.37.195.5,3331570.00,0.00,54.00,0.00
192.168.20.19,52.210.32.69,5483629344.50,4987674295.50,1364.00,1240.00
192.168.20.43,52.94.236.45,1459657.00,0.00,73.00,0.00
209.54.180.49,192.168.20.43,79.00,0.00,2.00,0.00
192.168.20.43,52.94.235.74,747159.00,0.00,12.00,0.00
192.168.20.48,52.202.2.34,1854801.50,1482885.50,109.50,91.50
192.168.20.43,52.36.138.241,36687558.00,0.00,100.00,0.00
192.168.20.19,8.8.8.8,3687361.50,3511447.50,335.00,286.00
192.168.20.48,157.175.254.63,1195006.00,0.00,54.00,0.00
192.168.20.48,18.214.151.92,379235.00,0.00,26.00,0.00
192.168.20.42,74.125.133.188,38739700496.00,0.00,1749.00,0.00
