Source IP,Destination IP,Date,Total Flow Duration,Total Forward Packets,Average Flow Duration,StdDev Flow Duration,Average Forward Packets,StdDev Forward Packets
192.168.20.43,52.222.175.76,2022-06-10,181494404.00,157,1992316026.50,1810821622.50,1039.00,882.00
18.159.178.100,192.168.20.48,2022-07-10,10078.00,1,10078.00,0.00,1.00,0.00
192.168.20.45,8.8.8.8,2022-03-11,1493399.00,23,1493399.00,0.00,23.00,0.00
192.168.20.43,54.239.29.0,2022-03-11,999884.00,24,999884.00,0.00,24.00,0.00
192.168.20.19,54.171.11.240,2022-03-11,2917097.00,355,1517234.50,1399862.50,185.00,170.00
192.168.20.43,34.226.24.249,2022-02-11,76884.00,1,76884.00,0.00,1.00,0.00
192.168.20.48,35.164.36.47,2022-03-11,3001256.00,41,3001256.00,0.00,41.00,0.00
192.168.20.48,54.239.31.104,2022-02-11,3121677.00,56,3121677.00,0.00,56.00,0.00
192.168.20.43,104.199.65.124,2022-02-11,2313798179.00,249,35218614957.50,32904816778.50,3371.00,3122.00
192.168.20.48,54.193.16.2,2022-03-11,8226538.00,115,4987243.50,3239294.50,67.50,47.50
192.168.20.43,34.202.49.39,2022-02-11,278491697.00,32,385434941.00,106943244.00,49.00,17.00
54.205.24.65,192.168.20.48,2022-03-11,916157.00,55,916157.00,0.00,55.00,0.00
192.168.20.48,54.225.152.58,2022-02-11,1682722.00,40,1682722.00,0.00,40.00,0.00
18.223.154.90,192.168.20.43,2022-02-11,1010.00,1,1010.00,0.00,1.00,0.00
54.239.26.255,192.168.20.43,2022-07-10,12701.00,8,12701.00,0.00,8.00,0.00
54.205.24.65,192.168.20.43,2022-03-11,79.00,2,79.00,0.00,2.00,0.00
192.168.20.48,52.94.237.71,2022-02-11,1124232.00,13,1124232.00,0.00,13.00,0.00
13.225.34.111,192.168.20.48,2022-03-11,99013.00,1,99013.00,0.00,1.00,0.00
192.168.20.43,54.211.220.114,2022-06-10,109250974.00,14,384234217.00,274983243.00,49.00,35.00
178.236.7.140,192.168.20.43,2022-07-10,1651.00,1,1651.00,0.00,1.00,0.00
192.168.20.48,52.119.196.25,2022-03-11,950211.00,18,950211.00,0.00,18.00,0.00
192.168.20.43,52.45.237.36,2022-02-11,77717.00,1,77717.00,0.00,1.00,0.00
192.168.20.43,52.94.236.199,2022-03-11,394140.00,12,394140.00,0.00,12.00,0.00
192.168.20.48,3.33.134.16,2022-02-11,2666480.00,31,2666480.00,0.00,31.00,0.00
192.168.20.48,3.6.255.210,2022-03-11,4358437.00,78,4358437.00,0.00,78.00,0.00
192.168.20.48,52.119.196.31,2022-03-11,980676.00,17,980676.00,0.00,17.00,0.00
192.168.20.48,13.54.168.82,2022-03-11,3786330.00,42,3786330.00,0.00,42.00,0.00
54.239.35.211,192.168.20.43,2022-02-11,3411.00,3,3411.00,0.00,3.00,0.00
18.134.222.161,192.168.20.48,2022-03-11,99708.00,6,99708.00,0.00,6.00,0.00
192.168.20.43,54.92.134.147,2022-03-11,1214087997.00,154,1214087997.00,0.00,154.00,0.00
192.168.20.48,52.222.193.55,2022-03-11,230474.00,35,230474.00,0.00,35.00,0.00
209.54.179.227,192.168.20.43,2022-02-11,32087.00,2,32087.00,0.00,2.00,0.00
192.168.20.48,54.232.199.45,2022-03-11,2324449.00,20,2324449.00,0.00,20.00,0.00
192.168.20.42,142.250.75.238,2022-07-10,4043002827.00,1401,2136183775.00,1906819052.00,729.50,671.50
192.168.20.42,142.250.75.234,2022-03-11,5083873.00,18,5083873.00,0.00,18.00,0.00
192.168.20.43,52.84.186.53,2022-03-11,60236663.00,16,60236663.00,0.00,16.00,0.00
192.168.20.45,173.194.76.109,2022-02-11,10126290.00,4,10126290.00,0.00,4.00,0.00
192.168.20.45,173.194.76.108,2022-02-11,10071066.00,3,10071066.00,0.00,3.00,0.00
192.168.20.48,3.234.38.31,2022-02-11,77502.00,1,77502.00,0.00,1.00,0.00
13.125.158.78,192.168.20.48,2022-03-11,872221.00,6,613189.50,259031.50,3.50,2.50
192.168.20.43,52.46.132.114,2022-03-11,392509.00,12,392509.00,0.00,12.00,0.00
192.168.20.48,192.168.20.1,2022-03-11,7776344.00,1360,4374414.50,3401929.50,710.00,650.00
192.168.20.48,15.188.36.183,2022-03-11,827767.00,91,827767.00,0.00,91.00,0.00
18.102.88.160,192.168.20.48,2022-03-11,2226.00,2,2226.00,0.00,2.00,0.00
192.168.20.43,3.234.38.31,2022-07-10,77473.00,1,77473.00,0.00,1.00,0.00
192.168.20.42,8.8.8.8,2022-03-11,41371508831.00,5501,21631165908.50,19740342922.50,2879.00,2622.00
192.168.20.43,52.94.220.255,2022-03-11,307262241.00,41,307262241.00,0.00,41.00,0.00
192.168.20.43,52.216.90.100,2022-03-11,76996772.00,310,76996772.00,0.00,310.00,0.00
64.233.184.188,192.168.20.42,2022-07-10,196294.00,2,196294.00,0.00,2.00,0.00
192.168.20.48,54.253.143.250,2022-07-10,9119062.00,141,9119062.00,0.00,141.00,0.00
192.168.20.43,3.227.250.193,2022-07-10,8515904.00,20,8515904.00,0.00,20.00,0.00
192.168.20.43,54.242.128.35,2022-02-11,21122049.00,23,21122049.00,0.00,23.00,0.00
192.168.20.43,52.84.174.68,2022-07-10,30811286.00,12,30811286.00,0.00,12.00,0.00
192.168.20.43,52.84.174.66,2022-07-10,644928.00,6,644928.00,0.00,6.00,0.00
192.168.20.48,52.51.17.67,2022-07-10,508795.00,53,508795.00,0.00,53.00,0.00
192.168.20.43,35.166.62.210,2022-03-11,78894323.00,186,78894323.00,0.00,186.00,0.00
192.168.20.43,52.204.152.47,2022-03-11,35128312.00,319,35128312.00,0.00,319.00,0.00
